case,algo,seed,timestep,eval_return_mean,eval_success_rate,eval_hole_rate,eval_episode_length_mean
case3_hard_slippery_8x8,DQN-Safe,1,6000,0.0,0.0,0.44,82.385
case3_hard_slippery_8x8,DQN-Safe,1,8000,0.0,0.0,0.34,87.475
case3_hard_slippery_8x8,DQN-Safe,1,10000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,12000,0.0,0.0,0.715,64.695
case3_hard_slippery_8x8,DQN-Safe,1,14000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,16000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,18000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,20000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,22000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,24000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,26000,0.0,0.0,0.125,95.31
case3_hard_slippery_8x8,DQN-Safe,1,28000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,30000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,32000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,34000,0.0,0.0,0.015,99.5
case3_hard_slippery_8x8,DQN-Safe,1,36000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,38000,0.0,0.0,0.065,97.955
case3_hard_slippery_8x8,DQN-Safe,1,40000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,42000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,44000,0.0,0.0,0.075,97.92
case3_hard_slippery_8x8,DQN-Safe,1,46000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,48000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,50000,0.0,0.0,0.135,95.415
case3_hard_slippery_8x8,DQN-Safe,1,52000,0.0,0.0,0.04,98.555
case3_hard_slippery_8x8,DQN-Safe,1,54000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,56000,0.0,0.0,0.11,96.385
case3_hard_slippery_8x8,DQN-Safe,1,58000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,60000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,62000,0.0,0.0,0.12,95.88
case3_hard_slippery_8x8,DQN-Safe,1,64000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,66000,0.0,0.0,0.045,98.62
case3_hard_slippery_8x8,DQN-Safe,1,68000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,70000,0.0,0.0,0.17,94.3
case3_hard_slippery_8x8,DQN-Safe,1,72000,0.0,0.0,0.055,98.08
case3_hard_slippery_8x8,DQN-Safe,1,74000,0.0,0.0,0.015,99.475
case3_hard_slippery_8x8,DQN-Safe,1,76000,0.0,0.0,0.19,91.795
case3_hard_slippery_8x8,DQN-Safe,1,78000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,80000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,82000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,84000,0.0,0.0,0.065,96.625
case3_hard_slippery_8x8,DQN-Safe,1,86000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,88000,0.0,0.0,0.08,96.665
case3_hard_slippery_8x8,DQN-Safe,1,90000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,92000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,94000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,96000,0.0,0.0,0.0,100.0
