case,algo,timestep,n_seeds,success_rate_mean,success_rate_std,success_rate_ci95,avg_return_mean,avg_return_std,avg_return_ci95,hole_rate_mean,hole_rate_std,hole_rate_ci95,avg_episode_length_mean,avg_episode_length_std,avg_episode_length_ci95
case3_hard_slippery_8x8,DQN,50000,5,0.21500000000000002,0.2117781858454737,0.18563176452320868,0.21500000000000002,0.2117781858454737,0.18563176452320868,0.198,0.24699696354408893,0.2165023842824831,82.16199999999999,14.122678393279369,12.379073413402148
case3_hard_slippery_8x8,DQN,52000,5,0.15699999999999997,0.18525657883055055,0.16238455098931054,0.15699999999999997,0.18525657883055055,0.16238455098931054,0.193,0.1767271908903664,0.1549082128229488,87.135,8.157847448929163,7.15066856678451
case3_hard_slippery_8x8,DQN,54000,5,0.16899999999999998,0.17633065530417563,0.15456063405667045,0.16899999999999998,0.17633065530417563,0.15456063405667045,0.26,0.19496794608345241,0.17089693970343647,81.699,12.499512690501177,10.956305944140112
case3_hard_slippery_8x8,DQN,56000,5,0.185,0.1255985668708047,0.11009199789267156,0.185,0.1255985668708047,0.11009199789267156,0.39299999999999996,0.28780635851210795,0.25227339613998145,69.3,26.560741235891744,23.2815161910044
case3_hard_slippery_8x8,DQN,58000,5,0.134,0.12007289452661662,0.10524853253133745,0.134,0.12007289452661662,0.10524853253133745,0.4130000000000001,0.25344131470618597,0.22215110713206,72.271,17.517867806899332,15.355088148936169
case3_hard_slippery_8x8,DQN,60000,5,0.133,0.11093917252260357,0.0972424722022224,0.133,0.11093917252260357,0.0972424722022224,0.41,0.3684935548961474,0.3229988421031877,70.474,26.471994966379093,23.203726655983516
case3_hard_slippery_8x8,DQN,62000,5,0.158,0.18380016322081982,0.16110794642102544,0.158,0.18380016322081982,0.16110794642102544,0.28300000000000003,0.2765546962175837,0.24241087929381386,81.10600000000001,13.461131731767576,11.799202197674212
case3_hard_slippery_8x8,DQN,64000,5,0.10200000000000001,0.09789024466207039,0.08580458262820231,0.10200000000000001,0.09789024466207039,0.08580458262820231,0.11499999999999999,0.17507141400011597,0.15345686038753692,91.88,9.01793767997983,7.904570894362324
case3_hard_slippery_8x8,DQN,66000,5,0.24700000000000003,0.20400980368599936,0.17882247733436643,0.24700000000000003,0.20400980368599936,0.17882247733436643,0.23200000000000004,0.20998809490063955,0.18406268062809472,79.37700000000001,12.983636624613306,11.380659282414177
case3_hard_slippery_8x8,DQN,68000,5,0.24300000000000002,0.1803676800316509,0.1580992422499235,0.24300000000000002,0.1803676800316509,0.1580992422499235,0.3,0.3048155179776778,0.2671825817675995,72.324,21.665942571233774,18.991035991267037
case3_hard_slippery_8x8,DQN,70000,5,0.24700000000000003,0.18403803954617645,0.16131645421344967,0.24700000000000003,0.18403803954617645,0.16131645421344967,0.13,0.14304719500919968,0.12538639479624575,85.788,10.530787363725471,9.230642109539295
